retailer_id,product_brand,review_title,author_id,review_date,mark,review_txt,product,product_id
Folie_FR,Evoluderm,,MARTINE R.,26/06/2018,5, Très bon exfoliant bravo,Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Malika A.,17/04/2018,4," ""rien a dire""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,"Franck "".",19/09/2017,5," ""Très satisfaite.""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Régine J.,22/07/2017,5," ""j'adore ; fin et efficace""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,"Franck "".",13/06/2017,5," ""Très bon produit.""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Paul O.,17/02/2017,5," ""parfait pour mon épouse""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Nathalie A.,3/2/2017,5," ""trop bien ,sent bon ,parfait""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,"Carole "".",6/11/2016,5," ""J AIME BCP CETTE MARQUE""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Virginie D.,24/09/2016,4," ""Bien mais pas assez de grains à mon gout""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Jessica C.,19/06/2016,5," ""Au top""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Selime B.,25/03/2016,4," ""L'odeur est très agréable mais l'aspect gommage du produit est pas très présent.""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Martine P.,4/3/2016,4," ""tres bien""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,"- "".",15/02/2016,5," ""conforme à mon attente""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Marielle P.,31/01/2016,5," ""très bon produit""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,PETIT S.,24/01/2016,4," ""laisse la peau douce""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Marie-france M.,17/11/2015,4," ""bon gommage normal.""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Cath P.,1/11/2015,5," ""aussi efficace qu une marque de renom pour un prix dérisoire""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Valérie R.,25/09/2015,4," ""Bon gommage,très bonne odeur, je le trouve juste au niveau de la finesse du grain mais vu son le prix faut pas chipoter""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Doriane L.,8/5/2015,5," ""très bien, doux et sent bon""",Gommage visage à l'huile d'argan,FOL3168
Folie_FR,Evoluderm,,Divine K.,26/06/2018,4," ""Bon gommage""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,Michelle C.,5/2/2018,5," ""bonne qualité et efficace bonne odeur.""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,"Franck "".",19/09/2017,5," ""J'en avais révé, Evoluderm l'a fait!""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,"Franck "".",13/06/2017,5," ""Gommage doux, très bon produit.""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,Karima S.,10/2/2017,5," ""le produit ne sens pas fort heureusement juste l'odeur du concombre Sava quand j'ai tester sur ma main je trouve que c'est bien lisse""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,"Carole "".",6/11/2016,5," ""J AIME BCP CETTE MARQUE""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,AURELIE C.,8/7/2016,4," ""Bon gommage. J'adore l'odeur.""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,Nicolas L.,5/5/2016,5," ""Rapport qualité impeccable & très bonne odeur Je le recommande""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,Sophie L.,7/3/2016,5," ""gommage douceur sent plutôt la menthe que l’aloès mais très bien pour nettoyer la peau ,je le recommande""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,Elisabeth L.,11/12/2015,5," ""Très satisfait de ce produit je le commande a chaque fois""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Evoluderm,,Nathalie A.,24/11/2015,5," ""laisse la peau toute douce""",Gommage visage extrait d'aloe vera,FOL3169
Folie_FR,Calliderm,,Nathalie G.,10/10/2018,4, bon produit,Masque doux visage multi,FOL3182
Folie_FR,Calliderm,,patricia et Patrick P.,6/6/2017,4," pas encore essayer, mais article conforme au site",Masque doux visage multi,FOL3182
Folie_FR,Calliderm,,JOCELYNE G.,15/01/2017,4," ""Bon masque""",Masque doux visage multi,FOL3182
Folie_FR,Calliderm,,"- "".",9/4/2016,5," ""Surprise et étonnée par l'efficacité de ce produit""",Masque doux visage multi,FOL3182
Folie_FR,Calliderm,,JOCELYNE G.,19/03/2016,4," ""Pour le prix masque très bien""",Masque doux visage multi,FOL3182
Folie_FR,Calliderm,,"DANIELE"" ""MARIE J.",26/12/2015,4," ""Très agréable et donne un coup de peps à la peau le matin surtout. Il est facile à appliquer et se rince sous la douche.""",Masque doux visage multi,FOL3182
Folie_FR,Calliderm,,Bénédicte P.,19/12/2015,5," ""très agréable""",Masque doux visage multi,FOL3182
Folie_FR,Calliderm,,JOCELYNE G.,19/12/2015,3, Moyen,Masque doux visage multi,FOL3182
Folie_FR,Byphasse,,Lucile L.,6/2/2019,5," Très bien, service impeccable, soigneux et attentif. Je recommande !",Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,MARTINE R.,30/12/2018,5, Produit très agréable à mettre et bon résultat,Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,Elodie M.,16/09/2018,5, Creme visage bien .,Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,Joelle D.,22/08/2018,5," Très bien,répond à mes attentes.",Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,SOPHIE V.,30/04/2017,4," ""Satisfaite de cette crème de jour. Elle hydrate bien la peau. L'odeur est très agréable. Cela fait juste quelques jours que je l'utilise.""",Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,Evelyne R.,10/3/2017,5," ""TRES BIEN""",Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,Denis B.,11/1/2016,5," ""produit très agréable. Sensation de frais sur le visage. Pas besoin d'en mettre beaucoup, je le recommande""",Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,Virginie J.,30/12/2015,5, Parfait,Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,Elisabeth L.,11/12/2015,5," ""Cette crème sans très bonne ne colle pas et n'ai pas grâce""",Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,Sanaa P.,4/12/2014,1," ""Bien mais trop cher pour les professionnels """,Crème visage Lift Instant Jeunesse Q10,FOL3261
Folie_FR,Byphasse,,JESSICA C.,26/01/2019,5, Bien,Crème visage hydra,FOL3260
Folie_FR,Byphasse,,Elodie M.,16/09/2018,4, Byphasse je connais bien le produits bonne petite creme .,Crème visage hydra,FOL3260
Folie_FR,Byphasse,,Françoise D.,28/05/2018,4, parfait,Crème visage hydra,FOL3260
Folie_FR,Byphasse,,SOPHIE V.,30/04/2017,4," ""Texture agréable ainsi que l'odeur. Elle hydrate vraiment la peau et laisse une belle sensation de confort""",Crème visage hydra,FOL3260
Folie_FR,Byphasse,,Leslie M.,5/4/2017,4," ""Produit parfait""",Crème visage hydra,FOL3260
Folie_FR,Byphasse,,CHANTAL G.,7/11/2016,5," ""Très agréable et efficace""",Crème visage hydra,FOL3260
Folie_FR,Byphasse,,Beatrice V.,7/10/2016,4, Bien,Crème visage hydra,FOL3260
